id,lat,lng,street_count,geometry
3549,22.5464073,114.1171974,4,POINT (114.1171974 22.5464073)
3550,22.547848,114.1259839,4,POINT (114.1259839 22.547848)
3551,22.5437136,114.1019412,3,POINT (114.1019412 22.5437136)
3552,22.5498565,114.1394586,3,POINT (114.1394586 22.5498565)
3553,22.5458442,114.1136421,4,POINT (114.1136421 22.5458442)
3554,22.5470892,114.1104257,3,POINT (114.1104257 22.5470892)
3555,22.543851,114.1016923,3,POINT (114.1016923 22.543851)
3556,22.5041595,113.8823642,3,POINT (113.8823642 22.5041595)
3557,22.4965808,113.8868728,3,POINT (113.8868728 22.4965808)
3558,22.4951315,113.8875732,3,POINT (113.8875732 22.4951315)
3559,22.5051086,113.8821083,3,POINT (113.8821083 22.5051086)
3560,22.5008056,113.8681967,4,POINT (113.8681967 22.5008056)
3561,22.5049658,113.8821946,3,POINT (113.8821946 22.5049658)
3562,22.5050781,113.8893065,3,POINT (113.8893065 22.5050781)
3563,22.4921166,113.8880671,3,POINT (113.8880671 22.4921166)
3564,22.5564111,113.8928128,3,POINT (113.8928128 22.5564111)
3565,22.5444802,113.9049874,3,POINT (113.9049874 22.5444802)
3566,22.5443709,113.9043859,3,POINT (113.9043859 22.5443709)
3567,22.5608618,113.8862529,3,POINT (113.8862529 22.5608618)
3568,22.5577156,113.8903637,3,POINT (113.8903637 22.5577156)
3569,22.5606498,113.8874054,3,POINT (113.8874054 22.5606498)
3570,22.5563817,113.9045049,3,POINT (113.9045049 22.5563817)
3571,22.5545459,113.8943873,3,POINT (113.8943873 22.5545459)
3572,22.551577,113.8973273,3,POINT (113.8973273 22.551577)
3573,22.556866,113.8918311,3,POINT (113.8918311 22.556866)
3574,22.5565044,113.8923842,3,POINT (113.8923842 22.5565044)
3575,22.5522946,113.8961133,4,POINT (113.8961133 22.5522946)
3576,22.5573932,113.890849,3,POINT (113.890849 22.5573932)
3577,22.5545047,113.8951482,3,POINT (113.8951482 22.5545047)
3578,22.5537597,113.8951991,3,POINT (113.8951991 22.5537597)
3579,22.55621,113.8919371,3,POINT (113.8919371 22.55621)
3580,22.554175,113.8940266,3,POINT (113.8940266 22.554175)
3581,22.5566716,113.8916018,3,POINT (113.8916018 22.5566716)
3582,22.5619399,113.8874969,3,POINT (113.8874969 22.5619399)
3583,22.5577139,113.8909494,3,POINT (113.8909494 22.5577139)
3584,22.5541756,113.8947696,4,POINT (113.8947696 22.5541756)
3585,22.5720489,113.8881469,3,POINT (113.8881469 22.5720489)
3586,22.5647026,113.8949173,3,POINT (113.8949173 22.5647026)
3587,22.5527159,113.9073944,3,POINT (113.9073944 22.5527159)
3588,22.4901296,113.9350588,4,POINT (113.9350588 22.4901296)
3589,22.4964269,113.9336154,4,POINT (113.9336154 22.4964269)
3590,22.4964627,113.9338161,4,POINT (113.9338161 22.4964627)
3591,22.4820608,113.9292905,1,POINT (113.9292905 22.4820608)
